Z30_SUB_LIBRARY	Z30_COLLECTION	legacy_code	folio_code
HCLIB	HSTAC	HCLIB HSTAC	HSTAC
HCLIB	HWRIG	HCLIB HWRIG	HWRIG
HCMED	HDART	HCMED HDART	HDART
HCMED	HMED	HCMED HMED	HMED
HCMED	HMEDF	HCMED HMEDF	HMEDF
HCMED	HMEDV	HCMED HMEDV	HMEDV
FCANN	FCANI	FCANN FCANI	FCANI
FCDPT	FCDPM	FCDPT FCDPM	FCDPM
FCDPT	FCDPS	FCDPT FCDPS	FCDPS
FCDPT	UTHES	FCDPT UTHES	UTHES
REN	RCCD	REN RCCD	RCCD
REN	RCCDR	REN RCCDR	RCCDR
REN	RCDB	REN RCDB	RCDB
REN	RCDV	REN RCDV	RCDV
REN	RCDVD	REN RCDVD	RCDVD
REN	RCFAC	REN RCFAC	RCFAC
REN	RCFIN	REN RCFIN	RCFIN
REN	RCGEN	REN RCGEN	RCGEN
REN	RCHEX	REN RCHEX	RCHEX
REN	RCKIN	REN RCKIN	RCKIN
REN	RCMOR	REN RCMOR	RCMOR
REN	RCMT	REN RCMT	RCMT
REN	RCMTP	REN RCMTP	RCMTP
REN	RCOS	REN RCOS	RCOS
REN	RCRAR	REN RCRAR	RCRAR
REN	RCVHS	REN RCVHS	RCVHS
SCANN	SXSTK	SCANN SXSTK	SXSTK
SCANN	SXSTL	SCANN SXSTL	SXSTL
SCANN	SXTHE	SCANN SXTHE	SXTHE
SCHIL	SACDR	SCHIL SACDR	SACDR
SCHIL	SALS	SCHIL SALS	SALS
SCHIL	SALSO	SCHIL SALSO	SALSO
SCHIL	SAMIC	SCHIL SAMIC	SAMIC
SCHIL	SAOVP	SCHIL SAOVP	SAOVP
SCHIL	SAOVR	SCHIL SAOVR	SAOVR
SCHIL	SAPER	SCHIL SAPER	SAPER
SCHIL	SAREF	SCHIL SAREF	SAREF
SCHIL	SARES	SCHIL SARES	SARES
SCHIL	SARFO	SCHIL SARFO	SARFO
SCHIL	SAROP	SCHIL SAROP	SAROP
SCHIL	SASB	SCHIL SASB	SASB
SCHIL	SASTK	SCHIL SASTK	SASTK
SCHIL	SASTR	SCHIL SASTR	SASTR
SCHIL	SATHE	SCHIL SATHE	SATHE
SCHIL	SAVD	SCHIL SAVD	SAVD
SCHIL	SCMOA	SCHIL SCMOA	SCMOA
